name,rank,area,profile,homepage
"Aksoy, Yagiz",Assistant Professor,"Illumination and Material Analysis in Images, Realistic Image Editing and Movie Post-Production, Computer Graphics for Cognitive Science",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/yagiz-aksoy.html,https://yaksoy.github.io
"Alameldeen, Alaa",Associate Professor,"Computer Architecture, Memory Systems, Hardware Security, Distributed Systems, Parallel Architectures and High-Performance Computing, Performance Evaluation of Computing Systems",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/alaa-alameldeen.html,https://www.cs.sfu.ca/~alaa/alaa_home.shtml
"Alimadadi, Saba",Assistant Professor,"Human-centred software engineering, Program analysis, Program comprehension, Debugging, Software engineering, Program analysis, Web engineering",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/saba-alimadadi.html,https://www.sfu.ca/~saba/
"Amy, Matthew",Assistant Professor | Canada Research Chair,"Research Interests, - Quantum compilers & programming languages, - Quantum circuit optimization, - Formal verification of quantum programs, - Models of quantum computation, Teaching Interests, - Theory of classical & quantum computation, - Programming languages & compilers, - Discrete mathematics",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/matt-amy.html,https://www.cs.sfu.ca/~meamy/
"Baghban Karimi, Ouldooz",Lecturer | Computing Science Diversity Committee Chair | Rajan Family Scholar,"Networks and Systems, Virtualization, Data, Security, and Privacy, Data Communications and Networking, Database Systems, Web Systems Architecture",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/ouldooz-baghban-karimi.html,https://www.cs.sfu.ca/~oba2
"Baker, Gregory",University Lecturer,"Web technologies and web systems development, Programming languages and paradigms, Introductory programming",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/greg-baker.html,https://www.cs.sfu.ca/~ggbaker
"Bart, Brad",Senior Lecturer,,https://www.sfu.ca/fas/computing/people/faculty/faculty-members/brad-bart.html,https://www.cs.sfu.ca/~bbart/
"Bergner, Steven",Term Lecturer,"Data acquisition and machine learning, Visual interfaces for computational modelling, NLP applications in big data",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/steve-bergner.html,https://stevenbergner.github.io/
"Bulatov, Andrei",Professor,"Constraint problems, Computational complexity, Combinatorics, Clone theory and universal algebra, Algorithms and complexity, Discrete mathematics",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/andrei-bulatov.html,https://www.cs.sfu.ca/~abulatov/
"Cameron, Robert D.",Professor,"High performance parsing and text processing, SIMD and multicore parallelism, Programming language technology, Software systems, Open software technology, Symbolic computing techniques, Hardware-software interface, Software systems capstone projects",https://www.sfu.ca/fas/computing/people/faculty/faculty-members/robert-d-cameron.html,https://www.cs.sfu.ca/~cameron/
